plot;species;cov
start11;Achillea millefolium agg.;2
start11;Agrostis capillaris;3
start11;Alchemilla monticola;1
start11;Anthoxanthum alpinum;3
start11;Anthoxanthum odoratum;30
start11;Arrhenatherum elatius;2
start11;Campanula patula;+
start11;Carex pallescens;1
start11;Carex panicea;1
start11;Centaurea jacea;+
start11;Centaurea pseudophrygia;+
start11;Cerastium holosteoides;+
start11;Cynosurus cristatus;1
start11;Dactylis glomerata;1
start11;Deschampsia cespitosa;2
start11;Festuca rubra agg.;50
start11;Hieracium sp.;+
start11;Hypericum maculatum;+
start11;Leucanthemum sp.;+
start11;Luzula multiflora;1
start11;Lychnis flos-cuculi;2
start11;Phleum pratense;3
start11;Plantago lanceolata;3
start11;Platanthera bifolia;r
start11;Poa annua;+
start11;Potentilla erecta;3
start11;Ranunculus acris;3
start11;Ranunculus repens;2
start11;Rhinanthus minor;25
start11;Rumex acetosa;+
start11;Rumex obtusifolius;+
start11;Trifolium pratense;1
start11;Trifolium repens;1
start11;Trisetum flavescens;1
start11;Veronica chamaedrys;1
start11;Veronica officinalis;+
start11;Veronica serpyllifolia;1
start11;Vicia cracca;2
start21;Achillea millefolium agg.;10
start21;Agrostis capillaris;5
start21;Alchemilla monticola;10
start21;Bellis perennis;1
start21;Campanula patula;r
start21;Carex leporina;+
start21;Carex pallescens;+
start21;Carex sylvatica;+
start21;Centaurea jacea;1
start21;Centaurea pseudophrygia;1
start21;Cerastium holosteoides;r
start21;Cynosurus cristatus;25
start21;Dactylis glomerata;5
start21;Deschampsia cespitosa;+
start21;Festuca pratensis;5
start21;Festuca rubra agg.;20
start21;Juncus effusus;+
start21;Leontodon hispidus;5
start21;Lychnis flos-cuculi;+
start21;Nardus stricta;5
start21;Plantago lanceolata;5
start21;Plantago major;1
start21;Poa pratensis;10
start21;Poa trivialis;5
start21;Prunella grandiflora;+
start21;Prunella vulgaris;2
start21;Ranunculus acris;1
start21;Ranunculus repens;3
start21;Rumex acetosa;2
start21;Senecio subalpinus;1
start21;Stellaria graminea;r
start21;Taraxacum officinale agg.;+
start21;Trifolium pratense;5
start21;Trifolium repens;5
start21;Veronica chamaedrys;1
start31;Achillea millefolium agg.;5
start31;Agrostis capillaris;5
start31;Ajuga reptans;3
start31;Alchemilla monticola;25
start31;Alopecurus pratensis;+
start31;Anthoxanthum odoratum;5
start31;Bellis perennis;+
start31;Calycocorsus stipitatus;10
start31;Cardamine pratensis;r
start31;Carex flacca;3
start31;Carex leporina;5
start31;Carex pallescens;+
start31;Carex sylvatica;3
start31;Chaerophyllum hirsutum;8
start31;Crepis aurea;5
start31;Crepis biennis;1
start31;Crepis paludosa;1
start31;Cruciata laevipes;2
start31;Dactylis glomerata;20
start31;Dactylorhiza maculata;1
start31;Deschampsia cespitosa;1
start31;Festuca rubra agg.;10
start31;Geranium phaeum;5
start31;Geranium sylvaticum;5
start31;Heracleum austriacum;10
start31;Hypericum maculatum;r
start31;Lathyrus pratensis;1
start31;Leontodon hispidus;5
start31;Leucanthemum ircutianum;+
start31;Lysimachia nemorum;10
start31;Myosotis palustris agg.;5
start31;Phleum pratense;2
start31;Phleum rhaeticum;5
start31;Pimpinella major;+
start31;Poa pratensis;10
start31;Poa trivialis;2
start31;Ranunculus acris;15
start31;Ranunculus repens;+
start31;Rumex alpestris;2
start31;Rumex alpinus;+
start31;Senecio subalpinus;15
start31;Taraxacum officinale agg.;+
start31;Trifolium pratense;2
start31;Trisetum flavescens;10
start31;Veronica chamaedrys;10
start31;Vicia cracca;3
start31;Vicia sepium;3
start41;Achillea millefolium agg.;10
start41;Agrostis capillaris;5
start41;Alchemilla monticola;8
start41;Anthoxanthum odoratum;5
start41;Cardaminopsis halleri;r
start41;Centaurea jacea;+
start41;Centaurea pseudophrygia;r
start41;Crepis aurea;4
start41;Dactylis glomerata;1
start41;Festuca pratensis;5
start41;Festuca rubra agg.;25
start41;Leontodon autumnalis;2
start41;Leontodon hispidus;3
start41;Leucanthemum ircutianum;1
start41;Lychnis flos-cuculi;10
start41;Lysimachia nemorum;1
start41;Myosotis sp.;+
start41;Phleum pratense;10
start41;Phleum rhaeticum;10
start41;Plantago lanceolata;2
start41;Poa annua;5
start41;Poa pratensis;5
start41;Poa trivialis;5
start41;Potentilla erecta;1
start41;Prunella vulgaris;+
start41;Ranunculus acris;2
start41;Rumex alpestris;1
start41;Senecio subalpinus;1
start41;Stellaria graminea;r
start41;Trifolium pratense;15
start41;Trifolium repens;1
start41;Trisetum flavescens;15
start41;Veronica chamaedrys;2
start61;Achillea millefolium agg.;10
start61;Agrostis capillaris;15
start61;Alchemilla crinita;+
start61;Alchemilla monticola;10
start61;Anthoxanthum alpinum;10
start61;Bellis perennis;1
start61;Briza media;5
start61;Carex flacca;+
start61;Carex leporina;1
start61;Carex pallescens;1
start61;Carex sylvatica;3
start61;Carum carvi;3
start61;Centaurea pseudophrygia;10
start61;Cerastium holosteoides;+
start61;Chaerophyllum hirsutum;3
start61;Cirsium arvense;1
start61;Crepis aurea;5
start61;Cynosurus cristatus;15
start61;Dactylis glomerata;1
start61;Dactylorhiza maculata;+
start61;Deschampsia cespitosa;10
start61;Euphorbia austriaca;+
start61;Festuca rubra agg.;15
start61;Helleborus sp.;+
start61;Leontodon hispidus;3
start61;Leucanthemum ircutianum;1
start61;Lotus corniculatus;+
start61;Luzula multiflora;+
start61;Lychnis flos-cuculi;+
start61;Mentha longifolia;+
start61;Myosotis nemorosa;2
start61;Nardus stricta;10
start61;Phleum rhaeticum;5
start61;Pimpinella major;3
start61;Plantago lanceolata;5
start61;Plantago major;5
start61;Plantago media;3
start61;Poa alpina;5
start61;Poa pratensis;3
start61;Poa supina;5
start61;Poa trivialis;5
start61;Potentilla aurea;1
start61;Potentilla erecta;1
start61;Prunella vulgaris;1
start61;Ranunculus acris;5
start61;Ranunculus repens;1
start61;Rumex alpestris;3
start61;Senecio subalpinus;10
start61;Silene dioica;+
start61;Stellaria graminea;+
start61;Taraxacum officinale agg.;+
start61;Thymus pulegioides;2
start61;Trifolium pratense;5
start61;Trifolium repens;10
start61;Veratrum album;10
